Linux 7.0.0-28-generic (ressbe) 	07/20/2026 	_x86_64_	(12 CPU)

04:03:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:03:09 PM  all    0.42    0.00    0.00    0.00    0.00    0.00    0.00   97.00    0.00    2.41
04:03:10 PM  all    0.50    0.00    0.08    0.00    0.00    0.00    0.00   99.33    0.00    0.00
04:03:11 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75    0.00    0.00
04:03:12 PM  all    0.33    0.00    0.08    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:13 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75    0.00    0.00
04:03:14 PM  all    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:15 PM  all    0.33    0.00    0.08    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:16 PM  all    0.17    0.00    0.08    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:17 PM  all    1.00    0.00    0.08    0.00    0.00    0.00    0.00   98.92    0.00    0.00
04:03:18 PM  all    0.67    0.00    0.08    0.00    0.00    0.00    0.00   99.25    0.00    0.00
04:03:19 PM  all    0.42    0.00    0.08    0.00    0.00    0.00    0.00   99.50    0.00    0.00
04:03:20 PM  all    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.50    0.00    0.00
04:03:21 PM  all    0.50    0.00    0.08    0.00    0.00    0.00    0.00   99.42    0.00    0.00
04:03:22 PM  all    0.75    0.00    0.08    0.00    0.00    0.00    0.00   99.17    0.00    0.00
04:03:23 PM  all    0.33    0.00    0.08    0.00    0.00    0.08    0.00   99.42    0.00    0.00
04:03:24 PM  all    0.42    0.00    0.08    0.00    0.00    0.00    0.00   99.50    0.00    0.00
04:03:25 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67    0.00    0.00
04:03:26 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75    0.00    0.00
04:03:27 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.75    0.00    0.00
04:03:28 PM  all    0.58    0.00    0.08    0.00    0.00    0.00    0.00   99.33    0.00    0.00
04:03:29 PM  all    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:30 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67    0.00    0.00
04:03:31 PM  all    0.25    0.00    0.08    0.00    0.00    0.00    0.00   99.67    0.00    0.00
04:03:32 PM  all    0.42    0.00    0.17    0.00    0.00    0.00    0.00   99.42    0.00    0.00
04:03:33 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67    0.00    0.00
04:03:34 PM  all    0.67    0.00    0.17    0.00    0.00    0.00    0.00   99.17    0.00    0.00
04:03:35 PM  all    0.33    0.00    0.08    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:36 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67    0.00    0.00
04:03:37 PM  all    0.42    0.00    0.00    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:38 PM  all    0.33    0.00    0.08    0.00    0.00    0.00    0.00   99.58    0.00    0.00
04:03:39 PM  all    0.75    0.00    0.33    0.00    0.00    0.08    0.00    5.00    0.00   93.83
04:03:40 PM  all    0.75    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.08
Average:     all    0.44    0.00    0.07    0.00    0.00    0.01    0.00   93.39    0.00    6.10
