Linux 7.0.0-28-generic (ressbe) 	07/20/2026 	_x86_64_	(12 CPU)

04:02:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:02:32 PM  all    0.50    0.00    0.25    0.00    0.00    0.00    0.00   64.73    0.00   34.44
04:02:33 PM  all    0.17    0.00    0.00    0.00    0.00    0.00    0.00   66.89    0.00   32.94
04:02:34 PM  all    1.08    0.00    0.25    0.00    0.00    0.00    0.00   66.58    0.00   32.09
04:02:35 PM  all    0.50    0.00    0.08    0.00    0.00    0.00    0.00   66.83    0.00   32.58
04:02:36 PM  all    0.42    0.00    0.00    0.00    0.00    0.00    0.00   66.72    0.00   32.86
04:02:37 PM  all    0.17    0.00    0.00    0.00    0.00    0.00    0.00   67.08    0.00   32.66
04:02:38 PM  all    0.42    0.00    0.08    0.00    0.00    0.00    0.00   66.67    0.00   32.83
04:02:39 PM  all    0.25    0.00    0.08    0.00    0.00    0.00    0.00   66.72    0.00   32.94
04:02:40 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   66.67    0.00   33.00
04:02:41 PM  all    0.42    0.00    0.08    0.00    0.00    0.00    0.00   66.72    0.00   32.78
04:02:42 PM  all    0.42    0.00    0.17    0.08    0.00    0.00    0.00   66.67    0.00   32.67
04:02:43 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   66.72    0.00   32.94
04:02:44 PM  all    0.25    0.00    0.08    0.00    0.00    0.00    0.00   66.86    0.00   32.80
04:02:45 PM  all    0.33    0.00    0.00    0.00    0.00    0.00    0.00   66.67    0.00   33.00
04:02:46 PM  all    0.33    0.00    0.08    0.00    0.00    0.00    0.00   66.72    0.00   32.86
04:02:47 PM  all    0.42    0.00    0.17    0.00    0.00    0.00    0.00   66.50    0.00   32.92
04:02:48 PM  all    0.25    0.00    0.17    0.00    0.00    0.00    0.00   66.72    0.00   32.86
04:02:49 PM  all    0.00    0.00    0.00    0.00    0.00    0.00    0.00   66.86    0.00   33.06
04:02:50 PM  all    0.50    0.00    0.00    0.00    0.00    0.00    0.00   66.61    0.00   32.89
04:02:51 PM  all    0.08    0.00    0.17    0.00    0.00    0.08    0.00   66.75    0.00   32.75
04:02:52 PM  all    0.50    0.00    0.17    0.00    0.00    0.00    0.00   66.67    0.00   32.67
04:02:53 PM  all    0.25    0.00    0.00    0.00    0.00    0.00    0.00   66.72    0.00   33.03
04:02:54 PM  all    0.17    0.00    0.00    0.00    0.00    0.00    0.00   66.83    0.00   33.00
04:02:55 PM  all    1.09    0.00    0.08    0.00    0.00    0.00    0.00   66.78    0.00   32.05
04:02:56 PM  all    0.50    0.00    0.08    0.00    0.00    0.00    0.00   66.61    0.00   32.81
04:02:57 PM  all    0.25    0.00    0.17    0.00    0.00    0.00    0.00   66.67    0.00   32.92
04:02:58 PM  all    0.50    0.00    0.00    0.00    0.00    0.00    0.00   66.64    0.00   32.86
04:02:59 PM  all    0.67    0.00    0.08    0.00    0.00    0.08    0.00   66.61    0.00   32.56
04:03:00 PM  all    0.33    0.00    0.17    0.00    0.00    0.00    0.00   66.67    0.00   32.83
04:03:01 PM  all    0.50    0.00    0.08    0.00    0.00    0.00    0.00   66.56    0.00   32.86
04:03:02 PM  all    0.58    0.00    0.33    0.00    0.00    0.00    0.00    2.16    0.00   96.75
04:03:03 PM  all    0.58    0.00    0.00    0.00    0.00    0.00    0.00    0.08    0.00   99.33
Average:     all    0.41    0.00    0.09    0.00    0.00    0.01    0.00   62.56    0.00   36.93
